text,perplexity
私はどんなにつまらない本でも最後まで読みます。,6.2845205974746
私はどうつまらない本でも最後まで読みます。,14.8276033793553
私は何つまらない本でも最後まで読みます。,21.9682877450408
私はどれつまらない本でも最後まで読みます。,16.4367035905772
,
牛乳とジュースと、どちらがいいですか。,99.7732568476866
牛乳とジュースと、どこがいいですか。,176.546944514649
牛乳とジュースと、どれがいいですか。,116.110238875255
牛乳とジュースと、何がいいですか。,132.619258819827
,
周りに家がありませんから、ここならいくら騒いでも構いません。,7.14455676997901
周りに家がありませんから、ここならいくつ騒いでも構いません。,14.3280039277133
周りに家がありませんから、ここならどんな騒いでも構いません。,10.3596987653042
周りに家がありませんから、ここならどうして騒いでも構いません。,6.39059869754728
,
この会場はとても広いのに、人が多いからそう見えません。,9.94102503790319
この会場はとても広いのに、人が多いからこう見えません。,11.6273654481142
この会場はとても広いのに、人が多いからどう見えません。,19.387484407467
この会場はとても広いのに、人が多いからああ見えません。,16.3338472064081
,
外国に住みたいからなんでも食べられないとダメです。,9.07369886907205
外国に住みたいからなにも食べられないとダメです。,12.2424188971952
外国に住みたいからどうでも食べられないとダメです。,14.1648769501136
外国に住みたいからどれも食べられないとダメです。,17.6043049947685
,
彼は困っている人がいると、どんなに遠いところでも行きます。,6.96358397961935
彼は困っている人がいると、どうに遠いところでも行きます。,22.2929714364507
彼は困っている人がいると、どこに遠いところでも行きます。,21.9112001657172
彼は困っている人がいると、いくらに遠いところでも行きます。,21.8506504403169
,
準備はしてありますからいつでも出掛けられます。,16.9353107958376
準備はしてありますからどうでも出掛けられます。,19.1837255465255
準備はしてありますから誰でも出掛けられます。,19.0861008598789
準備はしてありますからなんでも出掛けられます。,18.746710866789
,
クラスの中で、誰が一番絵が上手ですか。,7.60023709847568
クラスの中で、何が一番絵が上手ですか。,7.03895220741251
クラスの中で、どれが一番絵が上手ですか。,8.82367708502374
クラスの中で、どちらが一番絵が上手ですか。,8.61814986933861
,
この歌は日本人なら誰でも知っています。,5.00495856607349
この歌は日本人なら誰にも知っています。,11.0459504244268
この歌は日本人なら皆んなでも知っています。,59.6004682923651
この歌は日本人ならどちらでも知っています。,16.591277825758
,
あなたがこの時計を壊したんですか。僕はそんなことしないよ。,7.96129790744425
あなたがこの時計を壊したんですか。僕はこんなことしないよ。,14.2144226941687
あなたがこの時計を壊したんですか。僕はあんなことしないよ。,8.71513781899668
あなたがこの時計を壊したんですか。僕はどんなことしないよ。,35.6066142615189
,
どこでもいいから、遊びに行きたいです。,7.36396654221091
どこがいいから、遊びに行きたいです。,12.1151437674628
どこにもいいから、遊びに行きたいです。,12.5568927546358
どこででもいいから、遊びに行きたいです。,11.2625793184407
,
朝誰に会っても大きい声で挨拶するようにしています。,5.38165074218576
朝誰か会っても大きい声で挨拶するようにしています。,5.80662880561325
朝誰も会っても大きい声で挨拶するようにしています。,9.01029499381974
朝誰が会っても大きい声で挨拶するようにしています。,7.90057823355714
,
和子さんは子供が何をしても怒りません。,9.71997199690206
和子さんは子供が何もしても怒りません。,18.3074757135905
和子さんは子供がどんなにしても怒りません。,31.0475947864003
和子さんは子供がいくらしても怒りません。,42.7747132508248
,
どんなに探してもパスポートが見つからなくて、困っています。,19.0998659315526
どこに探してもパスポートが見つからなくて、困っています。,12.2928132089884
どうに探してもパスポートが見つからなくて、困っています。,13.7256584001229
なんに探してもパスポートが見つからなくて、困っています。,12.9721363129265
,
４０度の熱三日も続いているんですよ。それは大変ですね。,24.1766534914016
４０度の熱三日も続いているんですよ。あれは大変ですね。,26.3455888847496
４０度の熱三日も続いているんですよ。これは大変ですね。,21.3804574859349
４０度の熱三日も続いているんですよ。どれは大変ですね。,42.8481581539635
,
どのくらいお待ちになりましたか。今来たところですよ。,16.1245271001955
いつお待ちになりましたか。今来たところですよ。,7.52235981041653
いくらお待ちになりましたか。今来たところですよ。,8.78076681430143
どうしてお待ちになりましたか。今来たところですよ。,8.30716345591356
,
彼がどこに行ってしまったか。誰に聞いても分かりませんでした。,2.4352083482545
彼がどこに行ってしまったか。どうして聞いても分かりませんでした。,2.59410920997453
彼がどこに行ってしまったか。どんな聞いても分かりませんでした。,4.46543438800411
彼がどこに行ってしまったか。何に聞いても分かりませんでした。,6.17343345393078
,
この間紹介していただいたあの人は素晴らしい方ですね。,12.8757180242971
この間紹介していただいたこの人は素晴らしい方ですね。,13.1359299364627
この間紹介していただいたその人は素晴らしい方ですね。,14.264261162688
この間紹介していただいたどの人は素晴らしい方ですね。,33.4628543408342
,
ここに置いた本を知りませんか。あの本なら、本棚に入れました。,5.46368998301753
ここに置いた本を知りませんか。この本なら、本棚に入れました。,5.64020550741864
ここに置いた本を知りませんか。その本なら、本棚に入れました。,5.11918893800645
ここに置いた本を知りませんか。どの本なら、本棚に入れました。,5.83119148910979
,
アメリカとオーストラリアとではどっちが大きいですか。,37.1136887196848
アメリカとオーストラリアとではどこが大きいですか。,75.7441317985692
アメリカとオーストラリアとではどれが大きいですか。,69.0466864302076
アメリカとオーストラリアとでは何が大きいですか。,36.7229980998634
,
知らない人から電話がありましたよ。その人は男の人ですか、女の人ですか。,2.30022681731788
知らない人から電話がありましたよ。この人は男の人ですか、女の人ですか。,2.5860893419034
知らない人から電話がありましたよ。あの人は男の人ですか、女の人ですか。,2.67345438874783
知らない人から電話がありましたよ。どの人は男の人ですか、女の人ですか。,3.51435479542766
,
何があってもあなたの結婚式には出席するつもりです。,6.33528680605963
何あってもあなたの結婚式には出席するつもりです。,6.34965358694655
いつがあってもあなたの結婚式には出席するつもりです。,6.05217690988133
どんなにあってもあなたの結婚式には出席するつもりです。,10.3038423503885
,
中村さんの名前の漢字はどう書くんですか。,10.7683711123221
中村さんの名前の漢字はどんな書くんですか。,17.3765426273614
中村さんの名前の漢字はどこ書くんですか。,21.2045329578318
中村さんの名前の漢字はどの書くんですか。,23.7525141696382
,
世界のどこかでいつも戦争が起こっているのは悲しいことです。,2.45772092925399
世界のどこはでいつも戦争が起こっているのは悲しいことです。,11.1709482679553
世界のどこもでいつも戦争が起こっているのは悲しいことです。,3.88112996754162
世界のどこがでいつも戦争が起こっているのは悲しいことです。,11.3621793650593
,
あの人は大きい会社の社長ですが、そうは見えませんね。,9.33183111197907
あの人は大きい会社の社長ですが、これは見えませんね。,11.2614374737758
あの人は大きい会社の社長ですが、ああは見えませんね。,12.7137764994353
あの人は大きい会社の社長ですが、こうは見えませんね。,9.59055771218809
,
宿題はやりましたか。たった今終わったところです。,32.5768828713488
宿題はやりましたか。これから終わったところです。,36.7265561687221
宿題はやりましたか。この間終わったところです。,28.5670897718665
宿題はやりましたか。もうすぐ終わったところです。,22.069467378291
,
いつも家に帰ってから何をしますか。私は毎日忙しいですから、夕ご飯を食べたらすぐ寝てしまうんですよ。,3.38731937618677
いつも家に帰ってから何をしますか。私は毎日忙しいですから、夕ご飯を食べたらもうすぐ寝てしまうんですよ。,3.37079172553599
いつも家に帰ってから何をしますか。私は毎日忙しいですから、夕ご飯を食べたらこれから寝てしまうんですよ。,4.41664230806096
いつも家に帰ってから何をしますか。私は毎日忙しいですから、夕ご飯を食べたらちょうど今寝てしまうんですよ。,5.50080772018879
,
残ったら困りますから沢山召し上がってください。ありがとうございます。遠慮なく頂きます。,15.986723834367
残ったら困りますからよく召し上がってください。ありがとうございます。遠慮なく頂きます。,15.0175163180309
残ったら困りますから非常に召し上がってください。ありがとうございます。遠慮なく頂きます。,12.2824847362956
残ったら困りますから多く召し上がってください。ありがとうございます。遠慮なく頂きます。,18.7138099055958
,
夕飯を一緒にいかがですか。今食べたところで、お腹がいっぱいなんです。,7.84813454398306
夕飯を一緒にいかがですか。今から食べたところで、お腹がいっぱいなんです。,8.28343247536703
夕飯を一緒にいかがですか。最近食べたところで、お腹がいっぱいなんです。,10.9662380277469
夕飯を一緒にいかがですか。もうすぐ食べたところで、お腹がいっぱいなんです。,6.60467447637672
,
それは珍しいですね。誰に貰ったんですか。これはアルバイトをしたお金で自分で買ったんですよ。,4.85498885293753
それは珍しいですね。誰に貰ったんですか。あれはアルバイトをしたお金で自分で買ったんですよ。,4.87513617150713
それは珍しいですね。誰に貰ったんですか。あのはアルバイトをしたお金で自分で買ったんですよ。,7.70500550193953
それは珍しいですね。誰に貰ったんですか。このはアルバイトをしたお金で自分で買ったんですよ。,6.22042188201164
,
ちょっと図書館へ本を返しに行きます。じゃ、私が先週借りた本も返してきてください。,4.82227817810624
もっと図書館へ本を返しに行きます。じゃ、私が先週借りた本も返してきてください。,5.12324633610041
きっと図書館へ本を返しに行きます。じゃ、私が先週借りた本も返してきてください。,5.30050694188196
ずっと図書館へ本を返しに行きます。じゃ、私が先週借りた本も返してきてください。,5.15121405278931
,
こんにちは。お母様はいらっしゃいますか。いいえ、今おりませんが。じゃ、お帰りになったらこれをお渡しください。,8.80279347866738
こんにちは。お母様はいらっしゃいますか。いいえ、さっきおりませんが。じゃ、お帰りになったらこれをお渡しください。,8.0955147479576
こんにちは。お母様はいらっしゃいますか。いいえ、たった今おりませんが。じゃ、お帰りになったらこれをお渡しください。,9.22767000561112
こんにちは。お母様はいらっしゃいますか。いいえ、これからおりませんが。じゃ、お帰りになったらこれをお渡しください。,9.14682520732471
,
どこか一緒に旅行しませんか。仕事も忙しいし、お金もないからちょっと無理ですね。,3.82689064898421
何か一緒に旅行しませんか。仕事も忙しいし、お金もないからちょっと無理ですね。,3.44656358958903
どうか一緒に旅行しませんか。仕事も忙しいし、お金もないからちょっと無理ですね。,4.29419726298249
誰か一緒に旅行しませんか。仕事も忙しいし、お金もないからちょっと無理ですね。,3.76522091544045
,
何か音がしませんか。誰かのカバンの中の電話が鳴っているようですね。,3.4162813819716
何か音がしませんか。何かのカバンの中の電話が鳴っているようですね。,4.13588855205254
何か音がしませんか。どうかのカバンの中の電話が鳴っているようですね。,7.00615287289823
何か音がしませんか。どこかのカバンの中の電話が鳴っているようですね。,4.63423680996399
,
そろそろバスが来る時間ですよ。じゃ、急ごう。,52.6350062580738
まだバスが来る時間ですよ。じゃ、急ごう。,74.3501796816802
やっとバスが来る時間ですよ。じゃ、急ごう。,83.6884164910672
さっきバスが来る時間ですよ。じゃ、急ごう。,88.2433325476482
,
どうして行かないんですか。急に用事が入ったんです。,9.29770336436646
どうして行かないんですか。早く用事が入ったんです。,11.7292822300003
どうして行かないんですか。ゆっくり用事が入ったんです。,14.5877664952484
どうして行かないんですか。遅く用事が入ったんです。,13.5227549180712
,
どこの大学に決めましたか。私は大学には行かないことにしました。,7.19786347637247
なんの大学に決めましたか。私は大学には行かないことにしました。,7.6660128190752
いつの大学に決めましたか。私は大学には行かないことにしました。,7.64053067232219
誰の大学に決めましたか。私は大学には行かないことにしました。,7.02840608196002
,
今朝は中々起きてきませんでしたね。昨日テニスの試合に出て疲れていたんです。,4.33076575679469
今朝はそろそろ起きてきませんでしたね。昨日テニスの試合に出て疲れていたんです。,3.98667864974603
今朝は随分起きてきませんでしたね。昨日テニスの試合に出て疲れていたんです。,4.45610097856784
今朝はやっと起きてきませんでしたね。昨日テニスの試合に出て疲れていたんです。,7.64215406688916
,
５回も試験を受けて、やっと入学できました。よく頑張りましたね。,4.6400866086044
５回も試験を受けて、やっと入学できました。たまに頑張りましたね。,5.52932375714703
５回も試験を受けて、やっと入学できました。あまり頑張りましたね。,6.46965928862254
５回も試験を受けて、やっと入学できました。少し頑張りましたね。,5.76366617658603
,
今の子供たちが歩きたがらないのはどうしてですか。やはりどこへ行く時も車で行くことが多いからだと思います。,2.76624997587738
今の子供たちが歩きたがらないのはどうしてですか。やはり何へ行く時も車で行くことが多いからだと思います。,3.57545883716299
今の子供たちが歩きたがらないのはどうしてですか。やはりいつへ行く時も車で行くことが多いからだと思います。,4.53782074970229
今の子供たちが歩きたがらないのはどうしてですか。やはり誰へ行く時も車で行くことが多いからだと思います。,4.19361719109505
,
佐藤さんを見ませんでしたか。さっき散歩しているのを見ましたよ。,8.37900862193731
佐藤さんを見ませんでしたか。もうすぐ散歩しているのを見ましたよ。,9.02053755616685
佐藤さんを見ませんでしたか。ちょっと散歩しているのを見ましたよ。,9.37938163405363
佐藤さんを見ませんでしたか。ずっと散歩しているのを見ましたよ。,10.3707350127241
,
明日までにこれを全部しなければいけませんか。明日じゃなくてもいいですが、なるべく早くしてくださいね。,4.59278690850043
明日までにこれを全部しなければいけませんか。明日じゃなくてもいいですが、随分早くしてくださいね。,5.37704071251073
明日までにこれを全部しなければいけませんか。明日じゃなくてもいいですが、かなり早くしてくださいね。,6.67938642290715
明日までにこれを全部しなければいけませんか。明日じゃなくてもいいですが、もっと早くしてくださいね。,5.0690253534361
,
歌がお上手ですね。ありがとうございます。でもキムさんほど上手に歌えません。,7.06992734783855
歌がお上手ですね。ありがとうございます。でもキムさんほどよくに歌えません。,15.566362843152
歌がお上手ですね。ありがとうございます。でもキムさんほど同じに歌えません。,15.2105080603197
歌がお上手ですね。ありがとうございます。でもキムさんほど下手に歌えません。,9.17477275624229
,
宿題が難しくて中々終わらないんですが。じゃ、一緒にしましょう。,16.7966299964132
宿題が難しくてあまり終わらないんですが。じゃ、一緒にしましょう。,26.6015458547526
宿題が難しくてかなり終わらないんですが。じゃ、一緒にしましょう。,36.6349302365973
宿題が難しくてやっと終わらないんですが。じゃ、一緒にしましょう。,28.8491835131943
,
いつも自分で料理するんですか。いいえ。大抵外で食べます。,35.423533806104
いつも自分で料理するんですか。いいえ。きっと外で食べます。,27.3020364471626
いつも自分で料理するんですか。いいえ。多分外で食べます。,37.1874581866863
いつも自分で料理するんですか。いいえ。大体外で食べます。,27.3750722916708
,
田中さんはあの仕事が上手く出来たんでしょうか。はっきり分かりませんが、どうもダメだったらしいです。,13.0742371441792
田中さんはあの仕事が上手く出来たんでしょうか。きちんと分かりませんが、どうもダメだったらしいです。,16.4753699426571
田中さんはあの仕事が上手く出来たんでしょうか。すっかり分かりませんが、どうもダメだったらしいです。,16.783917427435
田中さんはあの仕事が上手く出来たんでしょうか。かなり分かりませんが、どうもダメだったらしいです。,16.7786916040803
,
暑い日が続きますね。そうですね。このまま少しも雨が降らなかったら水が足りなくなるかもしれませんね。,2.94166378966725
暑い日が続きますね。そうですね。このままよくも雨が降らなかったら水が足りなくなるかもしれませんね。,3.31715754737968
暑い日が続きますね。そうですね。このまま沢山も雨が降らなかったら水が足りなくなるかもしれませんね。,4.41604313528695
暑い日が続きますね。そうですね。このままあまりも雨が降らなかったら水が足りなくなるかもしれませんね。,3.84050507347212
,
辞書で調べて見ましたか。はい。でも、やっぱり分かりませんでした。,7.4708912397881
